,celltypes,importance
64,interneurons_5_GW26,0.00014986764189943097
15,hDA0_10,0.0001955372227940334
3,hRgl2a_9,0.00037248479561897464
43,hProgFPL_8,0.00040999833499080925
91,NPCs_8_GW16,0.00047130865211032666
56,exneurons_5_GW19,0.0004941280310188927
35,hProgFPL_6,0.0005204320558011256
80,exneurons_1_GW9,0.0005456710709749295
88,interneurons_8_GW16,0.00060888148225458
66,interneurons_2_GW26,0.000615761074878994
23,hDA2_10,0.0006243343592476599
1,hProgBP_7,0.000705768335918329
30,hOPC_11,0.0007108284777359437
52,interneurons_1_GW23,0.0007329005902307496
72,OPCs_3_GW26,0.0007345526982888988
18,hRgl2b_10,0.0007495536373519344
39,hProgBP_8,0.0007890175879599459
10,hDA1_9,0.0008469770532017121
32,hProgBP_6,0.0008801677896868858
76,NPCs_6_GW10,0.0009173457878933847
68,interneurons_7_GW26,0.0009297848786634875
55,OPCs_2_GW23,0.0009616081172265772
4,hNProg_9,0.0010397504114921438
60,astrocytes_3_GW26,0.0011571569865902014
92,NPCs_7_GW16,0.0015641407513765962
75,exneurons_1_GW10,0.0017350616508930554
44,hProgFPM_8,0.0018064280506494752
90,NPCs_6_GW16,0.001810076615361669
73,OPCs_1_GW26,0.001996605600487308
5,hProgBP_9,0.002081731923452043
14,hRgl2a_10,0.002175456419102592
83,exneurons_4_GW16,0.002196934414296304
70,microglia_2_GW26,0.0023894143126970053
29,hRgl2c_11,0.002565115698957161
20,hPeric_10,0.003186160349072963
78,NPCs_5_GW10,0.0037160921500679713
24,hRgl2a_11,0.004478499506332639
28,hPeric_11,0.004507905905509796
36,hProgFPM_6,0.005566632152535815
49,interneurons_2_GW23,0.005862506050494304
53,interneurons_7_GW23,0.005986927963721215
74,exneurons_1_GW8,0.006011822938440455
94,OPCs_2_GW16,0.0062516600618659265
61,exneurons_5_GW26,0.006306067765886906
89,NPCs_3_GW16,0.006699635803866502
87,interneurons_7_GW16,0.008220757625215704
86,interneurons_2_GW16,0.009305596260077867
59,astrocytes_1_GW26,0.009369918415255654
27,hRgl3_11,0.009905904487670859
37,hNbML1_6,0.010185723381153781
9,hNbML5_9,0.01019601638372812
71,OPCs_2_GW26,0.0103952465896917
47,exneurons_6_GW23,0.010422231463776905
65,interneurons_6_GW26,0.010732251718068677
93,NPCs_9_GW16,0.012151317035599693
62,exneurons_6_GW26,0.01376745064920471
81,NPCs_1_GW9,0.015347049564003484
2,hOMTN_7,0.015853342679001795
25,hEndo_11,0.016310093414867284
54,interneurons_8_GW23,0.016533892781871812
85,interneurons_6_GW16,0.021706518328452856
51,interneurons_3_GW23,0.024499553622635725
48,exneurons_7_GW23,0.025438620770613856
13,hNbGaba_9,0.02562080486251172
79,exneurons_2_GW12,0.03560355913727846
26,hRgl2b_11,0.042922523884715846
21,hDA1_10,0.049162861666429
69,interneurons_8_GW26,0.05789444744321411
6,hOMTN_9,0.0982632158855116
11,hGaba_9,0.3451324087905511
